"~start_node_id","~start_node_labels","~start_node_property_severity","~start_node_property_createdAt","~start_node_property_id","~start_node_property_text","~relationship_type","~end_node_id","~end_node_labels","~end_node_property_id","~end_node_property_placedAt","~start_node_property_placedAt","~end_node_property_name","~start_node_property_celsius","~start_node_property_ts","~end_node_property_code","~end_node_property_ingredient","~end_node_property_expiry","~end_node_property_qtyKg","~end_node_property_receivedAt","~end_node_property_status","~start_node_property_code","~start_node_property_ingredient","~start_node_property_expiry","~start_node_property_qtyKg","~start_node_property_receivedAt","~start_node_property_status","~end_node_property_city","~end_node_property_category","~end_node_property_lng","~end_node_property_lat"
"4:25cb8636-9963-485a-8156-32f58e0d20d3:7616","Order",,,"ORD_PNR_00142",,"CONTAINS_DISH","4:25cb8636-9963-485a-8156-32f58e0d20d3:4050","Dish","DISH_PNR_001",,"2026-09-18T11:12:00Z",,,,,,,,,,,,,,,,,,,
"4:25cb8636-9963-485a-8156-32f58e0d20d3:7616","Order",,,"ORD_PNR_00142",,"PLACED_BY","4:25cb8636-9963-485a-8156-32f58e0d20d3:191","Customer","CUST_00142",,"2026-09-18T11:12:00Z","Customer 142",,,,,,,,,,,,,,,,,,
"4:25cb8636-9963-485a-8156-32f58e0d20d3:18987","TempReading",,,,,"RECORDED_FOR","4:25cb8636-9963-485a-8156-32f58e0d20d3:7050","IngredientBatch","B_PNR2047",,,,3.6,"2026-09-18T00:30:00Z","PNR-2047","Paneer","2026-09-24T18:30:00Z",420,"2026-09-18T00:30:00Z","CRITICAL",,,,,,,,,,
"4:25cb8636-9963-485a-8156-32f58e0d20d3:17475","PrepLot",,,"PL_PNR_001",,"USES_BATCH","4:25cb8636-9963-485a-8156-32f58e0d20d3:7050","IngredientBatch","B_PNR2047",,,,,,"PNR-2047","Paneer","2026-09-24T18:30:00Z",420,"2026-09-18T00:30:00Z","CRITICAL",,,,,,,,,,
"4:25cb8636-9963-485a-8156-32f58e0d20d3:4050","Dish",,,"DISH_PNR_001",,"FROM_PREP_LOT","4:25cb8636-9963-485a-8156-32f58e0d20d3:17475","PrepLot","PL_PNR_001",,,,,,,,,,,,,,,,,,,,,
"4:25cb8636-9963-485a-8156-32f58e0d20d3:7663","Order",,,"ORD_PNR_00189",,"CONTAINS_DISH","4:25cb8636-9963-485a-8156-32f58e0d20d3:4050","Dish","DISH_PNR_001",,"2026-09-18T12:46:00Z",,,,,,,,,,,,,,,,,,,
"4:25cb8636-9963-485a-8156-32f58e0d20d3:7710","Order",,,"ORD_PNR_00236",,"CONTAINS_DISH","4:25cb8636-9963-485a-8156-32f58e0d20d3:4050","Dish","DISH_PNR_001",,"2026-09-18T14:20:00Z",,,,,,,,,,,,,,,,,,,
"4:25cb8636-9963-485a-8156-32f58e0d20d3:7050","IngredientBatch",,,"B_PNR2047",,"SUPPLIED_BY","4:25cb8636-9963-485a-8156-32f58e0d20d3:18975","Supplier","S001",,,"Supplier A (Sharma Dairy)",,,,,,,,,"PNR-2047","Paneer","2026-09-24T18:30:00Z",420,"2026-09-18T00:30:00Z","CRITICAL","Delhi","Dairy",,
"4:25cb8636-9963-485a-8156-32f58e0d20d3:10928","Order",,,"ORD_BULK_03454",,"CONTAINS_DISH","4:25cb8636-9963-485a-8156-32f58e0d20d3:5554","Dish","DISH_BULK_1458",,"2026-09-11T11:16:00Z",,,,,,,,,,,,,,,,,,,
"4:25cb8636-9963-485a-8156-32f58e0d20d3:12832","Order",,,"ORD_BULK_05358",,"CONTAINS_DISH","4:25cb8636-9963-485a-8156-32f58e0d20d3:5371","Dish","DISH_BULK_1275",,"2026-09-16T14:43:00Z",,,,,,,,,,,,,,,,,,,
"4:25cb8636-9963-485a-8156-32f58e0d20d3:17475","PrepLot",,,"PL_PNR_001",,"PREPARED_AT","4:25cb8636-9963-485a-8156-32f58e0d20d3:7450","Kitchen","K001",,,"Kitchen Hub 1",,,,,,,,,,,,,,,"Delhi",,77.19,28.619477
