id,code,ingredient,qty_kg,received_at,expiry,status,supplier_id
B_BATCH0040,BATCH-0040,Cardamom,202.7,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S007
B_BATCH0041,BATCH-0041,Rice,135.6,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S004
B_BATCH0042,BATCH-0042,Onions,175.3,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S007
B_BATCH0043,BATCH-0043,Garam Masala,413.6,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S002
B_BATCH0044,BATCH-0044,Chicken,343.5,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S002
B_BATCH0045,BATCH-0045,Tomatoes,466.9,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S001
B_BATCH0046,BATCH-0046,Oil,268.5,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S003
B_BATCH0047,BATCH-0047,Chicken,124.1,2026-09-10T00:00:00,2026-09-30T00:00:00,MONITORING,S007
B_BATCH0048,BATCH-0048,Wheat Flour,466.9,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S007
B_BATCH0049,BATCH-0049,Oil,363.5,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S005
B_BATCH0050,BATCH-0050,Ghee,373.3,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S009
B_BATCH0051,BATCH-0051,Rice,485.9,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S005
B_BATCH0052,BATCH-0052,Chicken,386.6,2026-09-10T00:00:00,2026-09-30T00:00:00,MONITORING,S009
B_BATCH0053,BATCH-0053,Garam Masala,276.3,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S010
B_BATCH0054,BATCH-0054,Chicken,482.4,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S003
B_BATCH0055,BATCH-0055,Tomatoes,317.8,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S003
B_BATCH0056,BATCH-0056,Oil,103.9,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S004
B_BATCH0057,BATCH-0057,Coriander,317.5,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S004
B_BATCH0058,BATCH-0058,Ghee,312.7,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S007
B_BATCH0059,BATCH-0059,Rice,351.4,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S005
B_BATCH0060,BATCH-0060,Oil,108.9,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S005
B_BATCH0061,BATCH-0061,Lentils,468.1,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S008
B_BATCH0062,BATCH-0062,Garam Masala,329.5,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S001
B_BATCH0063,BATCH-0063,Tomatoes,291.9,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S002
B_BATCH0064,BATCH-0064,Lentils,446.4,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S003
B_BATCH0065,BATCH-0065,Wheat Flour,121.0,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S006
B_BATCH0066,BATCH-0066,Wheat Flour,325.3,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S012
B_BATCH0067,BATCH-0067,Turmeric,53.5,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S011
B_BATCH0068,BATCH-0068,Ghee,96.6,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S005
B_BATCH0069,BATCH-0069,Tomatoes,450.4,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S005
B_BATCH0070,BATCH-0070,Wheat Flour,176.8,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S003
B_BATCH0071,BATCH-0071,Rice,359.4,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S006
B_BATCH0072,BATCH-0072,Garam Masala,163.0,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S009
B_BATCH0073,BATCH-0073,Tomatoes,335.4,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S001
B_BATCH0074,BATCH-0074,Chicken,200.1,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S001
B_BATCH0075,BATCH-0075,Onions,383.6,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S005
B_BATCH0076,BATCH-0076,Turmeric,54.4,2026-09-10T00:00:00,2026-09-30T00:00:00,MONITORING,S007
B_BATCH0077,BATCH-0077,Onions,295.5,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S012
B_BATCH0078,BATCH-0078,Turmeric,116.6,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S010
B_BATCH0079,BATCH-0079,Lentils,454.5,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S005
B_BATCH0080,BATCH-0080,Lentils,144.5,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S001
B_BATCH0081,BATCH-0081,Lentils,401.1,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S002
B_BATCH0082,BATCH-0082,Coriander,387.3,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S007
B_BATCH0083,BATCH-0083,Onions,489.3,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S004
B_BATCH0084,BATCH-0084,Chicken,130.7,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S007
B_BATCH0085,BATCH-0085,Ghee,438.8,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S007
B_BATCH0086,BATCH-0086,Onions,404.3,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S005
B_BATCH0087,BATCH-0087,Garam Masala,150.1,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S001
B_BATCH0088,BATCH-0088,Lentils,187.3,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S008
B_BATCH0089,BATCH-0089,Rice,60.6,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S004
B_BATCH0090,BATCH-0090,Wheat Flour,439.0,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S006
B_BATCH0091,BATCH-0091,Lentils,338.7,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S005
B_BATCH0092,BATCH-0092,Lentils,472.7,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S009
B_BATCH0093,BATCH-0093,Onions,311.3,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S005
B_BATCH0094,BATCH-0094,Tomatoes,318.5,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S001
B_BATCH0095,BATCH-0095,Oil,322.8,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S006
B_BATCH0096,BATCH-0096,Coriander,135.5,2026-09-10T00:00:00,2026-09-30T00:00:00,MONITORING,S007
B_BATCH0097,BATCH-0097,Chicken,284.0,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S007
B_BATCH0098,BATCH-0098,Cardamom,473.1,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S011
B_BATCH0099,BATCH-0099,Lentils,244.1,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S004
B_BATCH0100,BATCH-0100,Coriander,191.3,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S006
B_BATCH0101,BATCH-0101,Wheat Flour,278.2,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S012
B_BATCH0102,BATCH-0102,Oil,363.7,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S006
B_BATCH0103,BATCH-0103,Oil,349.2,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S004
B_BATCH0104,BATCH-0104,Onions,327.0,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S012
B_BATCH0105,BATCH-0105,Chicken,186.7,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S009
B_BATCH0106,BATCH-0106,Coriander,344.6,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S010
B_BATCH0107,BATCH-0107,Ghee,146.2,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S008
B_BATCH0108,BATCH-0108,Onions,346.5,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S012
B_BATCH0109,BATCH-0109,Ghee,328.7,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S011
B_BATCH0110,BATCH-0110,Ghee,189.7,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S004
B_BATCH0111,BATCH-0111,Chicken,70.8,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S003
B_BATCH0112,BATCH-0112,Tomatoes,254.9,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S010
B_BATCH0113,BATCH-0113,Rice,373.3,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S010
B_BATCH0114,BATCH-0114,Rice,116.4,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S007
B_BATCH0115,BATCH-0115,Oil,148.5,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S002
B_BATCH0116,BATCH-0116,Turmeric,259.0,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S012
B_BATCH0117,BATCH-0117,Garam Masala,110.0,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S002
B_BATCH0118,BATCH-0118,Turmeric,318.0,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S009
B_BATCH0119,BATCH-0119,Coriander,416.8,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S008
B_BATCH0120,BATCH-0120,Turmeric,250.7,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S007
B_BATCH0121,BATCH-0121,Garam Masala,166.6,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S008
B_BATCH0122,BATCH-0122,Wheat Flour,394.6,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S011
B_BATCH0123,BATCH-0123,Rice,173.6,2026-09-10T00:00:00,2026-09-30T00:00:00,MONITORING,S011
B_BATCH0124,BATCH-0124,Rice,172.3,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S005
B_BATCH0125,BATCH-0125,Tomatoes,112.3,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S009
B_BATCH0126,BATCH-0126,Onions,367.9,2026-09-10T00:00:00,2026-09-30T00:00:00,MONITORING,S012
B_BATCH0127,BATCH-0127,Lentils,294.2,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S007
B_BATCH0128,BATCH-0128,Oil,225.3,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S004
B_BATCH0129,BATCH-0129,Chicken,435.5,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S012
B_BATCH0130,BATCH-0130,Garam Masala,52.7,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S007
B_BATCH0131,BATCH-0131,Oil,292.2,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S007
B_BATCH0132,BATCH-0132,Rice,269.7,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S010
B_BATCH0133,BATCH-0133,Chicken,225.0,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S008
B_BATCH0134,BATCH-0134,Cardamom,124.3,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S007
B_BATCH0135,BATCH-0135,Coriander,290.4,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S003
B_BATCH0136,BATCH-0136,Coriander,348.3,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S010
B_BATCH0137,BATCH-0137,Onions,440.1,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S007
B_BATCH0138,BATCH-0138,Oil,197.3,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S005
B_BATCH0139,BATCH-0139,Oil,175.2,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S006
B_BATCH0140,BATCH-0140,Wheat Flour,425.7,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S007
B_BATCH0141,BATCH-0141,Turmeric,73.4,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S012
B_BATCH0142,BATCH-0142,Ghee,80.9,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S004
B_BATCH0143,BATCH-0143,Chicken,477.3,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S001
B_BATCH0144,BATCH-0144,Coriander,118.6,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S001
B_BATCH0145,BATCH-0145,Tomatoes,303.8,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S011
B_BATCH0146,BATCH-0146,Wheat Flour,395.1,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S012
B_BATCH0147,BATCH-0147,Cardamom,373.3,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S010
B_BATCH0148,BATCH-0148,Wheat Flour,98.6,2026-09-10T00:00:00,2026-09-30T00:00:00,MONITORING,S003
B_BATCH0149,BATCH-0149,Coriander,354.8,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S005
B_BATCH0150,BATCH-0150,Cardamom,139.2,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S007
B_BATCH0151,BATCH-0151,Rice,95.9,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S011
B_BATCH0152,BATCH-0152,Coriander,412.5,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S011
B_BATCH0153,BATCH-0153,Chicken,206.2,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S010
B_BATCH0154,BATCH-0154,Tomatoes,277.7,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S006
B_BATCH0155,BATCH-0155,Garam Masala,97.5,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S007
B_BATCH0156,BATCH-0156,Garam Masala,368.3,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S011
B_BATCH0157,BATCH-0157,Turmeric,484.5,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S012
B_BATCH0158,BATCH-0158,Garam Masala,259.2,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S009
B_BATCH0159,BATCH-0159,Wheat Flour,195.0,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S010
B_BATCH0160,BATCH-0160,Wheat Flour,446.7,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S002
B_BATCH0161,BATCH-0161,Coriander,324.6,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S008
B_BATCH0162,BATCH-0162,Garam Masala,432.9,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S001
B_BATCH0163,BATCH-0163,Lentils,409.0,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S004
B_BATCH0164,BATCH-0164,Cardamom,446.0,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S010
B_BATCH0165,BATCH-0165,Rice,88.5,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S009
B_BATCH0166,BATCH-0166,Turmeric,391.2,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S008
B_BATCH0167,BATCH-0167,Cardamom,270.9,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S011
B_BATCH0168,BATCH-0168,Wheat Flour,149.7,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S002
B_BATCH0169,BATCH-0169,Ghee,311.7,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S005
B_BATCH0170,BATCH-0170,Lentils,241.5,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S009
B_BATCH0171,BATCH-0171,Lentils,366.3,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S006
B_BATCH0172,BATCH-0172,Rice,104.3,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S005
B_BATCH0173,BATCH-0173,Cardamom,291.1,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S002
B_BATCH0174,BATCH-0174,Rice,147.4,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S003
B_BATCH0175,BATCH-0175,Coriander,489.5,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S012
B_BATCH0176,BATCH-0176,Tomatoes,424.7,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S005
B_BATCH0177,BATCH-0177,Onions,186.0,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S006
B_BATCH0178,BATCH-0178,Wheat Flour,70.5,2026-09-10T00:00:00,2026-09-30T00:00:00,MONITORING,S003
B_BATCH0179,BATCH-0179,Cardamom,474.8,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S005
B_BATCH0180,BATCH-0180,Tomatoes,442.7,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S008
B_BATCH0181,BATCH-0181,Garam Masala,248.2,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S008
B_BATCH0182,BATCH-0182,Wheat Flour,473.5,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S001
B_BATCH0183,BATCH-0183,Oil,271.3,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S002
B_BATCH0184,BATCH-0184,Chicken,118.3,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S011
B_BATCH0185,BATCH-0185,Tomatoes,497.3,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S005
B_BATCH0186,BATCH-0186,Coriander,318.3,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S007
B_BATCH0187,BATCH-0187,Oil,252.7,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S009
B_BATCH0188,BATCH-0188,Oil,187.4,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S010
B_BATCH0189,BATCH-0189,Cardamom,94.7,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S010
B_BATCH0190,BATCH-0190,Rice,169.1,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S011
B_BATCH0191,BATCH-0191,Onions,298.4,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S004
B_BATCH0192,BATCH-0192,Garam Masala,360.2,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S007
B_BATCH0193,BATCH-0193,Rice,179.6,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S001
B_BATCH0194,BATCH-0194,Tomatoes,359.3,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S008
B_BATCH0195,BATCH-0195,Coriander,347.5,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S011
B_BATCH0196,BATCH-0196,Tomatoes,295.1,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S007
B_BATCH0197,BATCH-0197,Onions,82.1,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S005
B_BATCH0198,BATCH-0198,Coriander,387.0,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S005
B_BATCH0199,BATCH-0199,Garam Masala,106.0,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S005
B_BATCH0200,BATCH-0200,Oil,474.2,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S012
B_BATCH0201,BATCH-0201,Garam Masala,86.2,2026-09-10T00:00:00,2026-09-30T00:00:00,MONITORING,S008
B_BATCH0202,BATCH-0202,Cardamom,195.0,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S007
B_BATCH0203,BATCH-0203,Rice,482.9,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S002
B_BATCH0204,BATCH-0204,Coriander,477.9,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S010
B_BATCH0205,BATCH-0205,Wheat Flour,309.3,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S011
B_BATCH0206,BATCH-0206,Garam Masala,283.5,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S003
B_BATCH0207,BATCH-0207,Onions,498.6,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S005
B_BATCH0208,BATCH-0208,Tomatoes,261.5,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S008
B_BATCH0209,BATCH-0209,Ghee,97.1,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S006
B_BATCH0210,BATCH-0210,Cardamom,273.0,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S007
B_BATCH0211,BATCH-0211,Turmeric,66.5,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S007
B_BATCH0212,BATCH-0212,Lentils,102.2,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S005
B_BATCH0213,BATCH-0213,Chicken,345.9,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S009
B_BATCH0214,BATCH-0214,Chicken,134.4,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S007
B_BATCH0215,BATCH-0215,Ghee,248.9,2026-09-10T00:00:00,2026-09-30T00:00:00,MONITORING,S008
B_BATCH0216,BATCH-0216,Turmeric,109.0,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S005
B_BATCH0217,BATCH-0217,Garam Masala,104.6,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S012
B_BATCH0218,BATCH-0218,Rice,369.4,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S010
B_BATCH0219,BATCH-0219,Turmeric,233.6,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S001
B_BATCH0220,BATCH-0220,Garam Masala,476.2,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S002
B_BATCH0221,BATCH-0221,Garam Masala,469.7,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S003
B_BATCH0222,BATCH-0222,Wheat Flour,237.0,2026-09-10T00:00:00,2026-09-30T00:00:00,NORMAL,S012
