id,batch_id,kitchen_id
PL_BULK_0035,B_BATCH0189,K009
PL_BULK_0036,B_BATCH0380,K001
PL_BULK_0037,B_BATCH0180,K003
PL_BULK_0038,B_BATCH0174,K008
PL_BULK_0039,B_BATCH0373,K022
PL_BULK_0040,B_BATCH0319,K004
PL_BULK_0041,B_BATCH0393,K019
PL_BULK_0042,B_BATCH0374,K025
PL_BULK_0043,B_BATCH0168,K005
PL_BULK_0044,B_BATCH0020,K012
PL_BULK_0045,B_BATCH0277,K011
PL_BULK_0046,B_BATCH0327,K006
PL_BULK_0047,B_BATCH0396,K022
PL_BULK_0048,B_BATCH0235,K023
PL_BULK_0049,B_BATCH0243,K021
PL_BULK_0050,B_BATCH0091,K005
PL_BULK_0051,B_BATCH0030,K023
PL_BULK_0052,B_BATCH0395,K015
PL_BULK_0053,B_BATCH0016,K010
PL_BULK_0054,B_BATCH0101,K002
PL_BULK_0055,B_BATCH0100,K002
PL_BULK_0056,B_BATCH0159,K010
PL_BULK_0057,B_BATCH0261,K013
PL_BULK_0058,B_BATCH0276,K016
PL_BULK_0059,B_BATCH0127,K002
PL_BULK_0060,B_BATCH0383,K021
PL_BULK_0061,B_BATCH0095,K010
PL_BULK_0062,B_BATCH0180,K025
PL_BULK_0063,B_BATCH0022,K021
PL_BULK_0064,B_BATCH0167,K009
PL_BULK_0065,B_BATCH0061,K012
PL_BULK_0066,B_BATCH0221,K013
PL_BULK_0067,B_BATCH0378,K015
PL_BULK_0068,B_BATCH0195,K011
PL_BULK_0069,B_BATCH0093,K016
PL_BULK_0070,B_BATCH0352,K016
PL_BULK_0071,B_BATCH0186,K017
PL_BULK_0072,B_BATCH0134,K003
PL_BULK_0073,B_BATCH0370,K014
PL_BULK_0074,B_BATCH0038,K014
PL_BULK_0075,B_BATCH0306,K006
PL_BULK_0076,B_BATCH0277,K010
PL_BULK_0077,B_BATCH0162,K004
PL_BULK_0078,B_BATCH0038,K011
PL_BULK_0079,B_BATCH0336,K010
PL_BULK_0080,B_BATCH0154,K015
PL_BULK_0081,B_BATCH0306,K023
PL_BULK_0082,B_BATCH0216,K006
PL_BULK_0083,B_BATCH0351,K015
PL_BULK_0084,B_BATCH0177,K015
PL_BULK_0085,B_BATCH0019,K024
PL_BULK_0086,B_BATCH0178,K020
PL_BULK_0087,B_BATCH0220,K009
PL_BULK_0088,B_BATCH0325,K002
PL_BULK_0089,B_BATCH0036,K022
PL_BULK_0090,B_BATCH0324,K013
PL_BULK_0091,B_BATCH0184,K017
PL_BULK_0092,B_BATCH0381,K022
PL_BULK_0093,B_BATCH0079,K001
PL_BULK_0094,B_BATCH0071,K020
PL_BULK_0095,B_BATCH0345,K015
PL_BULK_0096,B_BATCH0015,K005
PL_BULK_0097,B_BATCH0032,K008
PL_BULK_0098,B_BATCH0396,K021
PL_BULK_0099,B_BATCH0185,K012
PL_BULK_0100,B_BATCH0194,K019
PL_BULK_0101,B_BATCH0014,K020
PL_BULK_0102,B_BATCH0076,K022
PL_BULK_0103,B_BATCH0228,K012
PL_BULK_0104,B_BATCH0188,K015
PL_BULK_0105,B_BATCH0388,K003
PL_BULK_0106,B_BATCH0291,K005
PL_BULK_0107,B_BATCH0269,K012
PL_BULK_0108,B_BATCH0201,K011
PL_BULK_0109,B_BATCH0330,K009
PL_BULK_0110,B_BATCH0125,K004
PL_BULK_0111,B_BATCH0011,K024
PL_BULK_0112,B_BATCH0093,K016
PL_BULK_0113,B_BATCH0263,K013
PL_BULK_0114,B_BATCH0285,K004
PL_BULK_0115,B_BATCH0132,K025
PL_BULK_0116,B_BATCH0131,K023
PL_BULK_0117,B_BATCH0226,K007
PL_BULK_0118,B_BATCH0311,K010
PL_BULK_0119,B_BATCH0353,K016
PL_BULK_0120,B_BATCH0100,K004
PL_BULK_0121,B_BATCH0067,K003
PL_BULK_0122,B_BATCH0229,K006
PL_BULK_0123,B_BATCH0363,K015
PL_BULK_0124,B_BATCH0042,K022
PL_BULK_0125,B_BATCH0161,K022
PL_BULK_0126,B_BATCH0175,K023
PL_BULK_0127,B_BATCH0031,K018
PL_BULK_0128,B_BATCH0275,K010
PL_BULK_0129,B_BATCH0151,K006
PL_BULK_0130,B_BATCH0362,K023
PL_BULK_0131,B_BATCH0356,K021
PL_BULK_0132,B_BATCH0087,K012
PL_BULK_0133,B_BATCH0258,K008
PL_BULK_0134,B_BATCH0060,K007
PL_BULK_0135,B_BATCH0069,K008
PL_BULK_0136,B_BATCH0250,K001
PL_BULK_0137,B_BATCH0182,K018
PL_BULK_0138,B_BATCH0291,K012
PL_BULK_0139,B_BATCH0237,K018
PL_BULK_0140,B_BATCH0064,K020
PL_BULK_0141,B_BATCH0042,K003
PL_BULK_0142,B_BATCH0156,K013
PL_BULK_0143,B_BATCH0365,K024
PL_BULK_0144,B_BATCH0243,K017
PL_BULK_0145,B_BATCH0208,K025
PL_BULK_0146,B_BATCH0207,K019
PL_BULK_0147,B_BATCH0035,K005
PL_BULK_0148,B_BATCH0160,K021
PL_BULK_0149,B_BATCH0035,K015
PL_BULK_0150,B_BATCH0236,K022
PL_BULK_0151,B_BATCH0262,K012
PL_BULK_0152,B_BATCH0063,K025
PL_BULK_0153,B_BATCH0280,K021
PL_BULK_0154,B_BATCH0298,K006
PL_BULK_0155,B_BATCH0391,K005
PL_BULK_0156,B_BATCH0219,K017
PL_BULK_0157,B_BATCH0026,K004
PL_BULK_0158,B_BATCH0263,K005
PL_BULK_0159,B_BATCH0153,K006
PL_BULK_0160,B_BATCH0080,K011
PL_BULK_0161,B_BATCH0361,K008
PL_BULK_0162,B_BATCH0175,K017
PL_BULK_0163,B_BATCH0143,K003
PL_BULK_0164,B_BATCH0126,K007
PL_BULK_0165,B_BATCH0323,K018
PL_BULK_0166,B_BATCH0138,K005
PL_BULK_0167,B_BATCH0318,K010
PL_BULK_0168,B_BATCH0312,K018
PL_BULK_0169,B_BATCH0045,K017
PL_BULK_0170,B_BATCH0326,K006
PL_BULK_0171,B_BATCH0301,K019
PL_BULK_0172,B_BATCH0076,K006
PL_BULK_0173,B_BATCH0335,K020
PL_BULK_0174,B_BATCH0366,K020
PL_BULK_0175,B_BATCH0170,K019
PL_BULK_0176,B_BATCH0019,K001
PL_BULK_0177,B_BATCH0039,K002
PL_BULK_0178,B_BATCH0326,K025
PL_BULK_0179,B_BATCH0293,K009
PL_BULK_0180,B_BATCH0331,K007
PL_BULK_0181,B_BATCH0390,K019
PL_BULK_0182,B_BATCH0211,K020
PL_BULK_0183,B_BATCH0325,K001
PL_BULK_0184,B_BATCH0252,K021
PL_BULK_0185,B_BATCH0277,K010
PL_BULK_0186,B_BATCH0326,K010
PL_BULK_0187,B_BATCH0245,K008
PL_BULK_0188,B_BATCH0348,K013
PL_BULK_0189,B_BATCH0150,K015
PL_BULK_0190,B_BATCH0035,K023
PL_BULK_0191,B_BATCH0028,K006
PL_BULK_0192,B_BATCH0223,K014
PL_BULK_0193,B_BATCH0245,K015
PL_BULK_0194,B_BATCH0102,K011
PL_BULK_0195,B_BATCH0308,K005
PL_BULK_0196,B_BATCH0158,K023
PL_BULK_0197,B_BATCH0161,K024
PL_BULK_0198,B_BATCH0174,K013
PL_BULK_0199,B_BATCH0064,K025
PL_BULK_0200,B_BATCH0187,K017
PL_BULK_0201,B_BATCH0285,K004
PL_BULK_0202,B_BATCH0161,K008
PL_BULK_0203,B_BATCH0236,K004
PL_BULK_0204,B_BATCH0134,K015
PL_BULK_0205,B_BATCH0124,K005
PL_BULK_0206,B_BATCH0047,K002
PL_BULK_0207,B_BATCH0146,K013
PL_BULK_0208,B_BATCH0313,K014
PL_BULK_0209,B_BATCH0125,K006
PL_BULK_0210,B_BATCH0165,K019
PL_BULK_0211,B_BATCH0367,K011
PL_BULK_0212,B_BATCH0095,K025
PL_BULK_0213,B_BATCH0079,K016
PL_BULK_0214,B_BATCH0261,K015
PL_BULK_0215,B_BATCH0253,K010
PL_BULK_0216,B_BATCH0252,K001
PL_BULK_0217,B_BATCH0044,K013
PL_BULK_0218,B_BATCH0256,K015
PL_BULK_0219,B_BATCH0121,K007
PL_BULK_0220,B_BATCH0296,K012
PL_BULK_0221,B_BATCH0022,K002
PL_BULK_0222,B_BATCH0142,K016
PL_BULK_0223,B_BATCH0303,K021
PL_BULK_0224,B_BATCH0342,K016
PL_BULK_0225,B_BATCH0144,K018
PL_BULK_0226,B_BATCH0002,K004
PL_BULK_0227,B_BATCH0218,K005
PL_BULK_0228,B_BATCH0133,K024
PL_BULK_0229,B_BATCH0185,K025
PL_BULK_0230,B_BATCH0204,K012
PL_BULK_0231,B_BATCH0021,K013
PL_BULK_0232,B_BATCH0024,K019
PL_BULK_0233,B_BATCH0285,K007
PL_BULK_0234,B_BATCH0183,K018
PL_BULK_0235,B_BATCH0145,K003
PL_BULK_0236,B_BATCH0195,K017
PL_BULK_0237,B_BATCH0228,K025
PL_BULK_0238,B_BATCH0279,K009
PL_BULK_0239,B_BATCH0317,K022
PL_BULK_0240,B_BATCH0310,K004
PL_BULK_0241,B_BATCH0063,K004
PL_BULK_0242,B_BATCH0199,K012
PL_BULK_0243,B_BATCH0171,K018
PL_BULK_0244,B_BATCH0185,K025
PL_BULK_0245,B_BATCH0071,K007
PL_BULK_0246,B_BATCH0306,K017
PL_BULK_0247,B_BATCH0203,K017
PL_BULK_0248,B_BATCH0018,K002
PL_BULK_0249,B_BATCH0017,K005
PL_BULK_0250,B_BATCH0363,K011
PL_BULK_0251,B_BATCH0240,K017
PL_BULK_0252,B_BATCH0231,K005
PL_BULK_0253,B_BATCH0308,K017
PL_BULK_0254,B_BATCH0069,K011
PL_BULK_0255,B_BATCH0311,K011
PL_BULK_0256,B_BATCH0081,K013
PL_BULK_0257,B_BATCH0313,K024
PL_BULK_0258,B_BATCH0151,K019
PL_BULK_0259,B_BATCH0170,K017
PL_BULK_0260,B_BATCH0258,K018
PL_BULK_0261,B_BATCH0248,K023
PL_BULK_0262,B_BATCH0286,K010
PL_BULK_0263,B_BATCH0241,K001
PL_BULK_0264,B_BATCH0186,K011
PL_BULK_0265,B_BATCH0342,K004
PL_BULK_0266,B_BATCH0211,K019
PL_BULK_0267,B_BATCH0155,K024
PL_BULK_0268,B_BATCH0350,K021
PL_BULK_0269,B_BATCH0011,K020
PL_BULK_0270,B_BATCH0240,K009
PL_BULK_0271,B_BATCH0333,K025
PL_BULK_0272,B_BATCH0294,K019
PL_BULK_0273,B_BATCH0114,K024
PL_BULK_0274,B_BATCH0024,K019
PL_BULK_0275,B_BATCH0243,K006
PL_BULK_0276,B_BATCH0266,K021
PL_BULK_0277,B_BATCH0367,K020
PL_BULK_0278,B_BATCH0394,K013
PL_BULK_0279,B_BATCH0073,K022
PL_BULK_0280,B_BATCH0122,K002
PL_BULK_0281,B_BATCH0291,K023
PL_BULK_0282,B_BATCH0054,K007
PL_BULK_0283,B_BATCH0007,K015
PL_BULK_0284,B_BATCH0158,K014
PL_BULK_0285,B_BATCH0075,K014
PL_BULK_0286,B_BATCH0351,K007
PL_BULK_0287,B_BATCH0208,K017
PL_BULK_0288,B_BATCH0394,K020
PL_BULK_0289,B_BATCH0239,K024
PL_BULK_0290,B_BATCH0370,K002
PL_BULK_0291,B_BATCH0359,K005
PL_BULK_0292,B_BATCH0263,K007
PL_BULK_0293,B_BATCH0285,K011
PL_BULK_0294,B_BATCH0337,K016
PL_BULK_0295,B_BATCH0267,K013
PL_BULK_0296,B_BATCH0158,K006
PL_BULK_0297,B_BATCH0233,K018
PL_BULK_0298,B_BATCH0173,K018
PL_BULK_0299,B_BATCH0179,K022
PL_BULK_0300,B_BATCH0393,K024
PL_BULK_0301,B_BATCH0346,K021
PL_BULK_0302,B_BATCH0352,K009
PL_BULK_0303,B_BATCH0310,K016
PL_BULK_0304,B_BATCH0096,K008
PL_BULK_0305,B_BATCH0140,K018
PL_BULK_0306,B_BATCH0150,K008
PL_BULK_0307,B_BATCH0150,K025
PL_BULK_0308,B_BATCH0145,K023
PL_BULK_0309,B_BATCH0104,K023
PL_BULK_0310,B_BATCH0358,K016
PL_BULK_0311,B_BATCH0160,K016
PL_BULK_0312,B_BATCH0176,K018
PL_BULK_0313,B_BATCH0367,K009
PL_BULK_0314,B_BATCH0145,K004
PL_BULK_0315,B_BATCH0291,K022
PL_BULK_0316,B_BATCH0276,K013
PL_BULK_0317,B_BATCH0200,K012
PL_BULK_0318,B_BATCH0393,K005
PL_BULK_0319,B_BATCH0146,K002
PL_BULK_0320,B_BATCH0145,K023
PL_BULK_0321,B_BATCH0038,K012
PL_BULK_0322,B_BATCH0224,K021
PL_BULK_0323,B_BATCH0129,K024
PL_BULK_0324,B_BATCH0243,K007
PL_BULK_0325,B_BATCH0101,K018
PL_BULK_0326,B_BATCH0136,K018
PL_BULK_0327,B_BATCH0354,K009
PL_BULK_0328,B_BATCH0068,K004
PL_BULK_0329,B_BATCH0313,K024
PL_BULK_0330,B_BATCH0298,K008
PL_BULK_0331,B_BATCH0122,K002
PL_BULK_0332,B_BATCH0340,K017
PL_BULK_0333,B_BATCH0113,K021
PL_BULK_0334,B_BATCH0117,K002
PL_BULK_0335,B_BATCH0049,K014
PL_BULK_0336,B_BATCH0167,K023
PL_BULK_0337,B_BATCH0239,K004
PL_BULK_0338,B_BATCH0346,K025
PL_BULK_0339,B_BATCH0068,K001
PL_BULK_0340,B_BATCH0279,K006
PL_BULK_0341,B_BATCH0206,K021
PL_BULK_0342,B_BATCH0241,K016
PL_BULK_0343,B_BATCH0331,K007
PL_BULK_0344,B_BATCH0385,K010
PL_BULK_0345,B_BATCH0162,K010
PL_BULK_0346,B_BATCH0328,K002
PL_BULK_0347,B_BATCH0391,K003
PL_BULK_0348,B_BATCH0331,K019
PL_BULK_0349,B_BATCH0116,K018
PL_BULK_0350,B_BATCH0376,K024
PL_BULK_0351,B_BATCH0017,K006
PL_BULK_0352,B_BATCH0211,K006
PL_BULK_0353,B_BATCH0016,K013
PL_BULK_0354,B_BATCH0251,K006
PL_BULK_0355,B_BATCH0381,K010
PL_BULK_0356,B_BATCH0017,K001
PL_BULK_0357,B_BATCH0150,K019
PL_BULK_0358,B_BATCH0306,K004
PL_BULK_0359,B_BATCH0169,K010
PL_BULK_0360,B_BATCH0230,K021
PL_BULK_0361,B_BATCH0276,K017
PL_BULK_0362,B_BATCH0250,K005
PL_BULK_0363,B_BATCH0256,K015
PL_BULK_0364,B_BATCH0137,K007
PL_BULK_0365,B_BATCH0055,K011
PL_BULK_0366,B_BATCH0081,K024
PL_BULK_0367,B_BATCH0232,K021
PL_BULK_0368,B_BATCH0129,K023
PL_BULK_0369,B_BATCH0093,K001
PL_BULK_0370,B_BATCH0375,K011
PL_BULK_0371,B_BATCH0149,K019
PL_BULK_0372,B_BATCH0343,K025
PL_BULK_0373,B_BATCH0096,K006
PL_BULK_0374,B_BATCH0310,K021
PL_BULK_0375,B_BATCH0205,K014
PL_BULK_0376,B_BATCH0261,K011
PL_BULK_0377,B_BATCH0042,K013
PL_BULK_0378,B_BATCH0340,K004
PL_BULK_0379,B_BATCH0092,K005
PL_BULK_0380,B_BATCH0242,K011
PL_BULK_0381,B_BATCH0125,K001
PL_BULK_0382,B_BATCH0131,K013
PL_BULK_0383,B_BATCH0118,K015
PL_BULK_0384,B_BATCH0383,K009
PL_BULK_0385,B_BATCH0166,K010
PL_BULK_0386,B_BATCH0296,K024
PL_BULK_0387,B_BATCH0291,K001
PL_BULK_0388,B_BATCH0131,K021
PL_BULK_0389,B_BATCH0182,K023
PL_BULK_0390,B_BATCH0118,K002
PL_BULK_0391,B_BATCH0339,K004
PL_BULK_0392,B_BATCH0236,K010
PL_BULK_0393,B_BATCH0079,K013
PL_BULK_0394,B_BATCH0349,K017
PL_BULK_0395,B_BATCH0358,K025
PL_BULK_0396,B_BATCH0157,K023
PL_BULK_0397,B_BATCH0058,K021
PL_BULK_0398,B_BATCH0149,K012
PL_BULK_0399,B_BATCH0312,K008
PL_BULK_0400,B_BATCH0110,K005
PL_BULK_0401,B_BATCH0242,K005
PL_BULK_0402,B_BATCH0230,K024
PL_BULK_0403,B_BATCH0308,K012
PL_BULK_0404,B_BATCH0210,K023
PL_BULK_0405,B_BATCH0279,K016
PL_BULK_0406,B_BATCH0385,K018
PL_BULK_0407,B_BATCH0338,K007
PL_BULK_0408,B_BATCH0388,K008
PL_BULK_0409,B_BATCH0346,K025
PL_BULK_0410,B_BATCH0303,K003
PL_BULK_0411,B_BATCH0267,K015
PL_BULK_0412,B_BATCH0268,K023
PL_BULK_0413,B_BATCH0183,K003
PL_BULK_0414,B_BATCH0286,K004
PL_BULK_0415,B_BATCH0029,K018
PL_BULK_0416,B_BATCH0256,K007
PL_BULK_0417,B_BATCH0291,K018
PL_BULK_0418,B_BATCH0074,K006
PL_BULK_0419,B_BATCH0165,K017
PL_BULK_0420,B_BATCH0224,K004
PL_BULK_0421,B_BATCH0346,K007
PL_BULK_0422,B_BATCH0365,K019
PL_BULK_0423,B_BATCH0248,K003
PL_BULK_0424,B_BATCH0259,K015
PL_BULK_0425,B_BATCH0026,K015
PL_BULK_0426,B_BATCH0065,K017
PL_BULK_0427,B_BATCH0210,K015
PL_BULK_0428,B_BATCH0286,K002
PL_BULK_0429,B_BATCH0284,K015
PL_BULK_0430,B_BATCH0342,K010
PL_BULK_0431,B_BATCH0368,K001
PL_BULK_0432,B_BATCH0200,K009
PL_BULK_0433,B_MILK774,K024
PL_BULK_0434,B_BATCH0109,K019
PL_BULK_0435,B_BATCH0035,K002
PL_BULK_0436,B_BATCH0214,K012
PL_BULK_0437,B_BATCH0356,K003
PL_BULK_0438,B_BATCH0275,K002
PL_BULK_0439,B_BATCH0033,K016
PL_BULK_0440,B_BATCH0014,K010
PL_BULK_0441,B_BATCH0207,K006
PL_BULK_0442,B_BATCH0391,K005
PL_BULK_0443,B_BATCH0390,K021
PL_BULK_0444,B_BATCH0371,K021
PL_BULK_0445,B_BATCH0213,K012
PL_BULK_0446,B_BATCH0193,K015
PL_BULK_0447,B_BATCH0191,K013
PL_BULK_0448,B_BATCH0039,K022
PL_BULK_0449,B_BATCH0336,K018
PL_BULK_0450,B_BATCH0066,K021
PL_BULK_0451,B_BATCH0176,K004
PL_BULK_0452,B_BATCH0089,K018
PL_BULK_0453,B_BATCH0199,K017
PL_BULK_0454,B_BATCH0063,K024
PL_BULK_0455,B_BATCH0112,K001
PL_BULK_0456,B_BATCH0385,K001
PL_BULK_0457,B_BATCH0150,K015
PL_BULK_0458,B_BATCH0342,K024
PL_BULK_0459,B_BATCH0276,K014
PL_BULK_0460,B_BATCH0270,K013
PL_BULK_0461,B_BATCH0115,K008
PL_BULK_0462,B_BATCH0233,K012
PL_BULK_0463,B_BATCH0077,K009
PL_BULK_0464,B_BATCH0094,K024
PL_BULK_0465,B_BATCH0389,K004
PL_BULK_0466,B_BATCH0014,K022
PL_BULK_0467,B_BATCH0212,K020
PL_BULK_0468,B_BATCH0390,K001
PL_BULK_0469,B_BATCH0121,K007
PL_BULK_0470,B_BATCH0032,K004
PL_BULK_0471,B_BATCH0302,K002
PL_BULK_0472,B_BATCH0226,K020
PL_BULK_0473,B_BATCH0342,K023
PL_BULK_0474,B_BATCH0022,K008
PL_BULK_0475,B_BATCH0377,K002
PL_BULK_0476,B_BATCH0203,K015
PL_BULK_0477,B_BATCH0117,K018
PL_BULK_0478,B_BATCH0109,K025
PL_BULK_0479,B_BATCH0395,K002
PL_BULK_0480,B_BATCH0069,K017
PL_BULK_0481,B_BATCH0146,K008
PL_BULK_0482,B_BATCH0372,K019
PL_BULK_0483,B_BATCH0161,K019
PL_BULK_0484,B_BATCH0304,K025
PL_BULK_0485,B_BATCH0342,K011
PL_BULK_0486,B_BATCH0119,K010
PL_BULK_0487,B_BATCH0071,K022
PL_BULK_0488,B_BATCH0264,K008
PL_BULK_0489,B_BATCH0209,K010
PL_BULK_0490,B_BATCH0138,K002
PL_BULK_0491,B_BATCH0283,K019
PL_BULK_0492,B_BATCH0374,K006
PL_BULK_0493,B_BATCH0318,K022
PL_BULK_0494,B_BATCH0216,K018
PL_BULK_0495,B_BATCH0251,K002
PL_BULK_0496,B_BATCH0174,K021
PL_BULK_0497,B_BATCH0341,K013
PL_BULK_0498,B_BATCH0266,K011
PL_BULK_0499,B_BATCH0354,K014
PL_BULK_0500,B_BATCH0207,K005
PL_BULK_0501,B_BATCH0151,K013
PL_BULK_0502,B_BATCH0092,K025
PL_BULK_0503,B_BATCH0273,K016
PL_BULK_0504,B_BATCH0121,K008
PL_BULK_0505,B_BATCH0151,K023
PL_BULK_0506,B_BATCH0071,K015
PL_BULK_0507,B_BATCH0027,K018
PL_BULK_0508,B_BATCH0209,K014
PL_BULK_0509,B_BATCH0283,K017
PL_BULK_0510,B_BATCH0066,K013
PL_BULK_0511,B_BATCH0122,K009
PL_BULK_0512,B_BATCH0102,K011
PL_BULK_0513,B_BATCH0329,K003
PL_BULK_0514,B_BATCH0228,K012
PL_BULK_0515,B_BATCH0045,K018
PL_BULK_0516,B_BATCH0368,K007
PL_BULK_0517,B_BATCH0024,K009
PL_BULK_0518,B_BATCH0191,K022
PL_BULK_0519,B_BATCH0307,K020
PL_BULK_0520,B_BATCH0018,K003
PL_BULK_0521,B_BATCH0094,K025
PL_BULK_0522,B_BATCH0298,K024
PL_BULK_0523,B_BATCH0341,K018
PL_BULK_0524,B_BATCH0109,K016
PL_BULK_0525,B_BATCH0104,K011
PL_BULK_0526,B_BATCH0153,K001
PL_BULK_0527,B_BATCH0106,K007
PL_BULK_0528,B_BATCH0377,K004
PL_BULK_0529,B_BATCH0380,K025
PL_BULK_0530,B_BATCH0243,K008
PL_BULK_0531,B_BATCH0354,K020
PL_BULK_0532,B_BATCH0358,K007
PL_BULK_0533,B_BATCH0201,K008
PL_BULK_0534,B_BATCH0280,K011
PL_BULK_0535,B_BATCH0395,K010
PL_BULK_0536,B_BATCH0192,K015
PL_BULK_0537,B_BATCH0271,K021
PL_BULK_0538,B_BATCH0181,K010
PL_BULK_0539,B_BATCH0131,K012
PL_BULK_0540,B_BATCH0260,K016
PL_BULK_0541,B_BATCH0236,K004
PL_BULK_0542,B_BATCH0367,K016
PL_BULK_0543,B_BATCH0387,K011
PL_BULK_0544,B_BATCH0102,K012
PL_BULK_0545,B_BATCH0158,K014
PL_BULK_0546,B_BATCH0021,K019
PL_BULK_0547,B_BATCH0111,K024
PL_BULK_0548,B_BATCH0072,K001
PL_BULK_0549,B_BATCH0131,K018
PL_BULK_0550,B_BATCH0297,K019
PL_BULK_0551,B_BATCH0366,K014
PL_BULK_0552,B_BATCH0149,K005
PL_BULK_0553,B_BATCH0098,K011
PL_BULK_0554,B_BATCH0115,K013
PL_BULK_0555,B_BATCH0289,K008
PL_BULK_0556,B_BATCH0253,K018
PL_BULK_0557,B_BATCH0333,K022
PL_BULK_0558,B_BATCH0170,K009
PL_BULK_0559,B_BATCH0388,K016
PL_BULK_0560,B_BATCH0368,K021
PL_BULK_0561,B_BATCH0376,K016
PL_BULK_0562,B_BATCH0233,K006
PL_BULK_0563,B_BATCH0373,K012
PL_BULK_0564,B_BATCH0084,K005
PL_BULK_0565,B_BATCH0366,K018
PL_BULK_0566,B_BATCH0248,K006
PL_BULK_0567,B_BATCH0275,K021
PL_BULK_0568,B_BATCH0028,K017
PL_BULK_0569,B_BATCH0015,K003
PL_BULK_0570,B_BATCH0340,K002
PL_BULK_0571,B_BATCH0389,K001
PL_BULK_0572,B_BATCH0209,K005
PL_BULK_0573,B_BATCH0320,K008
PL_BULK_0574,B_BATCH0032,K023
PL_BULK_0575,B_BATCH0075,K001
PL_BULK_0576,B_BATCH0109,K017
PL_BULK_0577,B_BATCH0231,K012
PL_BULK_0578,B_BATCH0028,K020
PL_BULK_0579,B_BATCH0324,K022
PL_BULK_0580,B_BATCH0313,K016
PL_BULK_0581,B_BATCH0335,K016
PL_BULK_0582,B_BATCH0006,K001
PL_BULK_0583,B_BATCH0270,K018
PL_BULK_0584,B_BATCH0208,K001
PL_BULK_0585,B_BATCH0006,K017
PL_BULK_0586,B_BATCH0367,K009
PL_BULK_0587,B_BATCH0272,K010
PL_BULK_0588,B_BATCH0006,K017
PL_BULK_0589,B_BATCH0355,K022
PL_BULK_0590,B_BATCH0218,K006
PL_BULK_0591,B_BATCH0052,K004
PL_BULK_0592,B_BATCH0266,K005
PL_BULK_0593,B_BATCH0121,K007
PL_BULK_0594,B_BATCH0315,K017
PL_BULK_0595,B_BATCH0127,K012
PL_BULK_0596,B_BATCH0134,K013
PL_BULK_0597,B_BATCH0038,K012
PL_BULK_0598,B_BATCH0205,K015
PL_BULK_0599,B_BATCH0287,K008
PL_BULK_0600,B_BATCH0354,K008
PL_BULK_0601,B_BATCH0151,K022
PL_BULK_0602,B_BATCH0039,K021
PL_BULK_0603,B_BATCH0330,K025
PL_BULK_0604,B_BATCH0014,K003
PL_BULK_0605,B_BATCH0205,K013
PL_BULK_0606,B_BATCH0191,K018
PL_BULK_0607,B_BATCH0241,K002
